ID,,
,Kedah,Langkawi
,Kedah,Jerlun
,Kedah,Kubang Pasu
,Kedah,Padang Terap
,Kedah,Pokok Sena
,Kedah,Alor Setar
,Kedah,Kuala Kedah
,Kedah,Pendang
,Kedah,Jerai
,Kedah,Sik
,Kedah,Merbok
,Kedah,Sungai Petani
,Kedah,Baling
,Kedah,Padang Serai
,Kedah,Bandar Baharu
,Kedah,Ayer Hangat
,Kedah,Kota Siputeh
,Kedah,Bukit Kayu Hitam
,Kedah,Kuala Nerang
,Kedah,Bukit Lada
,Kedah,Bakar Bata
,Kedah,Anak Bukit
,Kedah,Tokai
,Kedah,Sungai Limau
,Kedah,Belantek
,Kedah,Bukit Selambau
,Kedah,Pantai Merdeka
,Kedah,Bayu
,Kedah,Merbau Pulas
,Kedah,Kulim
,Kedah,Kuah
,Kedah,Ayer Hitam
,Kedah,Jitra
,Kedah,Pedu
,Kedah,Bukit Pinang
,Kedah,Kota Darul Aman
,Kedah,Kubang Rotan
,Kedah,Sungai Tiang
,Kedah,Guar Chempedak
,Kedah,Jeneri
,Kedah,Tanjong Dawai
,Kedah,Bakar Arang
,Kedah,Kupang
,Kedah,Lunas
,Kedah,Bandar Baharu
,Kedah,Derga
,Kedah,Alor Mengkudu
,Kedah,Pengkalan Kundor
,Kedah,Gurun
,Kedah,Sidam
,Kedah,Kuala Ketil
